Category: All categories

Week,GERD diet: (Canada)
2020-01-05,41
2020-01-12,40
2020-01-19,14
2020-01-26,28
2020-02-02,0
2020-02-09,27
2020-02-16,40
2020-02-23,0
2020-03-01,51
2020-03-08,25
2020-03-15,49
2020-03-22,35
2020-03-29,0
2020-04-05,23
2020-04-12,23
2020-04-19,34
2020-04-26,35
2020-05-03,23
2020-05-10,35
2020-05-17,49
2020-05-24,48
2020-05-31,34
2020-06-07,48
2020-06-14,50
2020-06-21,76
2020-06-28,27
2020-07-05,26
2020-07-12,40
2020-07-19,27
2020-07-26,14
2020-08-02,27
2020-08-09,27
2020-08-16,27
2020-08-23,27
2020-08-30,53
2020-09-06,40
2020-09-13,26
2020-09-20,26
2020-09-27,0
2020-10-04,27
2020-10-11,0
2020-10-18,29
2020-10-25,58
2020-11-01,13
2020-11-08,28
2020-11-15,14
2020-11-22,67
2020-11-29,68
2020-12-06,28
2020-12-13,42
2020-12-20,45
2020-12-27,100
