Category: All categories

Week,Fatty liver diet: (Canada)
2020-01-05,100
2020-01-12,42
2020-01-19,29
2020-01-26,43
2020-02-02,29
2020-02-09,28
2020-02-16,0
2020-02-23,27
2020-03-01,14
2020-03-08,53
2020-03-15,52
2020-03-22,12
2020-03-29,36
2020-04-05,12
2020-04-12,0
2020-04-19,12
2020-04-26,0
2020-05-03,49
2020-05-10,37
2020-05-17,13
2020-05-24,63
2020-05-31,36
2020-06-07,88
2020-06-14,53
2020-06-21,40
2020-06-28,42
2020-07-05,14
2020-07-12,42
2020-07-19,87
2020-07-26,43
2020-08-02,56
2020-08-09,57
2020-08-16,42
2020-08-23,0
2020-08-30,56
2020-09-06,56
2020-09-13,41
2020-09-20,0
2020-09-27,42
2020-10-04,57
2020-10-11,0
2020-10-18,45
2020-10-25,15
2020-11-01,55
2020-11-08,15
2020-11-15,29
2020-11-22,57
2020-11-29,14
2020-12-06,15
2020-12-13,15
2020-12-20,47
2020-12-27,0
