Week,Year,The Sirtfood diet,GERD diet,The Candida diet,Keto diet,Plant-based diet,Anti-inflammatory diet,Fatty-liver diet,DASH diet,Alkaline diet,IBS diet,Diets
05/01/2020,2020,100,41,50,100,100,0,100,89,68,88,The Sirtfood diet
12/01/2020,2020,0,40,0,70,0,0,42,52,26,86,GERD diet
19/01/2020,2020,0,14,0,71,51,100,29,100,97,39,The Candida diet
26/01/2020,2020,0,28,0,73,25,49,43,54,27,64,Keto diet
02/02/2020,2020,0,0,0,62,0,0,29,72,55,38,Plant-based diet
09/02/2020,2020,0,27,50,64,0,48,28,53,40,25,Anti-inflammatory diet
16/02/2020,2020,0,40,0,73,50,48,0,9,94,62,Fatty-liver diet
23/02/2020,2020,16,0,48,70,0,93,27,60,91,48,DASH diet
01/03/2020,2020,0,51,48,64,0,92,14,59,39,12,Alkaline diet
08/03/2020,2020,0,25,0,48,0,0,53,57,25,12,IBS diet
15/03/2020,2020,0,49,0,27,0,44,52,16,37,68,
22/03/2020,2020,14,35,0,24,0,42,12,8,70,22,
29/03/2020,2020,0,0,0,32,0,0,36,22,34,11,
05/04/2020,2020,0,23,0,28,21,40,12,22,45,21,
12/04/2020,2020,0,23,42,35,0,41,0,15,0,32,
19/04/2020,2020,0,34,0,45,21,0,12,15,57,42,
26/04/2020,2020,0,35,0,39,21,0,0,30,23,65,
03/05/2020,2020,71,23,85,57,21,41,49,30,34,43,
10/05/2020,2020,0,35,0,52,0,0,37,8,23,32,
17/05/2020,2020,15,49,0,56,0,44,13,8,24,57,
24/05/2020,2020,0,48,0,59,0,0,63,16,48,11,
31/05/2020,2020,14,34,42,55,42,82,36,30,46,21,
07/06/2020,2020,0,48,0,54,22,43,88,23,24,11,
14/06/2020,2020,15,50,0,54,23,45,53,16,0,47,
21/06/2020,2020,0,76,0,48,0,45,40,41,13,83,
28/06/2020,2020,16,27,0,57,0,0,42,26,13,25,
05/07/2020,2020,0,26,48,55,24,0,14,25,39,48,
12/07/2020,2020,0,40,0,49,0,0,42,43,13,62,
19/07/2020,2020,0,27,0,48,25,0,87,18,0,13,
26/07/2020,2020,17,14,50,52,0,0,43,27,14,0,
02/08/2020,2020,0,27,0,69,0,0,56,44,40,62,
09/08/2020,2020,0,27,0,45,0,0,57,26,0,75,
16/08/2020,2020,0,27,49,35,25,48,42,26,13,62,
23/08/2020,2020,0,27,0,51,0,0,0,26,13,100,
30/08/2020,2020,0,53,49,42,0,0,56,43,13,37,
06/09/2020,2020,0,40,0,39,0,0,56,35,40,37,
